rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
177,49.43,,Fatimat YUSUF,02 MAY 1971,NGR,1,Harare (ZIM),15 SEP 1995,1229,400-metres,sprints,female,senior
177,49.43,,Lorraine FENTON,08 SEP 1973,JAM,2,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1229,400-metres,sprints,female,senior
177,49.43,,Antonina KRIVOSHAPKA,21 JUL 1987,RUS,1,Krasnodar (RUS),08 JUN 2012,1229,400-metres,sprints,female,senior
182,49.44,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,Pisa (ITA),25 AUG 1983,1228,400-metres,sprints,female,senior
182,49.44,,Marita KOCH,18 FEB 1957,GDR,1,Potsdam (GDR),25 MAY 1984,1228,400-metres,sprints,female,senior
182,49.44,,Shaunae MILLER,15 APR 1994,BAH,1,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016,1228,400-metres,sprints,female,senior
182,49.44,,Femke BOL,23 FEB 2000,NED,1,"Olympiastadion, München (GER)",17 AUG 2022,1228,400-metres,sprints,female,senior
182,49.44,,Aaliyah BUTLER,05 NOV 2003,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",19 APR 2025,1228,400-metres,sprints,female,senior
187,49.45,,Petra SCHERSING,18 JUL 1965,GDR,2,"Olympic Stadium, Seoul (KOR)",26 SEP 1988,1228,400-metres,sprints,female,senior
187,49.45,,Marie-José PÉREC,09 MAY 1968,FRA,1,Lausanne (SUI),03 JUL 1996,1228,400-metres,sprints,female,senior
187,49.45,,Natalia KACZMAREK,17 JAN 1998,POL,1sf3,"Stade de France, Paris (FRA)",07 AUG 2024,1228,400-metres,sprints,female,senior
187,49.45,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1228,400-metres,sprints,female,senior
191,49.46,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,2,"Lenin Stadium, Moskva (URS)",28 JUL 1980,1227,400-metres,sprints,female,senior
191,49.46,,Sanya RICHARDS-ROSS,26 FEB 1985,USA,1,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1227,400-metres,sprints,female,senior
191,49.46,,Shaunae MILLER,15 APR 1994,BAH,1,"Boudewijnstadion, Bruxelles (BEL)",01 SEP 2017,1227,400-metres,sprints,female,senior
191,49.46,,Allyson FELIX,18 NOV 1985,USA,3,"National Stadium, Tokyo (JPN)",06 AUG 2021,1227,400-metres,sprints,female,senior
191,49.46,,Kendall ELLIS,08 MAR 1996,USA,1,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1227,400-metres,sprints,female,senior
196,49.47,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,Praha (TCH),22 JUL 1984,1227,400-metres,sprints,female,senior
196,49.47,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,2,Paris (FRA),04 SEP 1984,1227,400-metres,sprints,female,senior
196,49.47,,Aelita YURCHENKO,1965,URS,2,Moskva (URS),04 SEP 1988,1227,400-metres,sprints,female,senior
196,49.47,,Marie-José PÉREC,09 MAY 1968,FRA,1,Paris (FRA),28 JUN 1996,1227,400-metres,sprints,female,senior
196,49.47,,Shericka JACKSON,16 JUL 1994,JAM,3,"Khalifa International Stadium, Doha (QAT)",03 OCT 2019,1227,400-metres,sprints,female,senior
